Date,Open,High,Low,Close,Adj Close,Volume
2020-10-16,59.750000,60.130001,57.779999,57.990002,57.990002,3828700
2020-10-19,58.070000,58.810001,56.939999,56.950001,56.950001,2793600
2020-10-20,57.470001,57.660000,55.720001,56.130001,56.130001,3759800
2020-10-21,55.650002,57.869999,55.619999,57.220001,57.220001,2771600
2020-10-22,58.029999,58.680000,57.020000,58.000000,58.000000,1941000
2020-10-23,58.599998,59.259998,58.220001,59.119999,59.119999,1614500
2020-10-26,58.389999,59.200001,58.160000,59.130001,59.130001,2040600
2020-10-27,59.020000,59.869999,58.639999,59.529999,59.529999,2354100
2020-10-28,57.580002,58.430000,57.360001,57.840000,57.840000,3327900
2020-10-29,58.250000,59.110001,57.889999,58.900002,58.900002,1722200
2020-10-30,57.730000,57.939999,56.810001,57.570000,57.570000,2179400
2020-11-02,57.470001,58.250000,56.509998,56.880001,56.880001,2072800
2020-11-03,57.470001,58.099998,57.020000,57.709999,57.709999,993000
2020-11-04,59.360001,61.500000,59.169998,61.240002,61.240002,2736100
2020-11-05,62.169998,63.250000,61.740002,63.110001,63.110001,2233100
2020-11-06,62.930000,63.900002,62.509998,63.810001,63.810001,1440500
